\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000061_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1771     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:11:09 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.50367 0.01452 
 2454034.701953 14.52202 0.01286 
 2454034.706575 14.53264 0.01447 
 2454034.711195 14.54616 0.01304 
 2454034.715816 14.50249 0.01269 
 2454034.721280 14.50287 0.01342 
 2454034.726743 14.50148 0.01193 
 2454034.728931 14.50292 0.01212 
 2454034.733552 14.50844 0.01215 
 2454034.738171 14.52087 0.01202 
 2454034.742791 14.52522 0.01197 
 2454034.747412 14.53572 0.01289 
 2454034.752032 14.51989 0.01112 
 2454034.756652 14.53735 0.01504 
 2454034.761271 14.50964 0.01156 
 2454034.765892 14.53463 0.01194 
 2454034.770512 14.53519 0.01156 
 2454034.775132 14.52374 0.01174 
 2454034.788988 14.53012 0.01247 
 2454034.793608 14.48731 0.01122 
 2454035.691028 14.50722 0.01334 
 2454035.695648 14.51996 0.01353 
 2454035.700270 14.52200 0.01332 
 2454035.704890 14.50988 0.01318 
 2454035.709512 14.53873 0.01336 
 2454035.714132 14.53911 0.01288 
 2454035.719593 14.51474 0.01275 
 2454035.721781 14.51994 0.01242 
 2454035.726402 14.51584 0.01244 
 2454035.731024 14.51463 0.01250 
 2454035.735647 14.53802 0.01241 
 2454035.740269 14.52459 0.01209 
 2454035.744889 14.51375 0.01207 
 2454035.749509 14.49772 0.01188 
 2454035.754130 14.52130 0.01201 
 2454035.758752 14.52939 0.01167 
 2454035.763372 14.52565 0.01182 
 2454035.767992 14.52285 0.01170 
 2454035.772612 14.51980 0.01180 
 2454035.777233 14.50941 0.01178 
 2454035.781854 14.51428 0.01164 
 2454035.786476 14.51290 0.01163 
 2454035.791096 14.51653 0.01150 
 2454036.691428 14.49996 0.01445 
 2454036.696047 14.52377 0.01323 
 2454036.700668 14.49259 0.01288 
 2454036.705288 14.52847 0.01367 
 2454036.709908 14.52385 0.01253 
 2454036.715372 14.51707 0.01264 
 2454036.720834 14.52398 0.01294 
 2454036.723022 14.51868 0.01301 
 2454036.727641 14.52765 0.01271 
 2454036.732260 14.51614 0.01284 
 2454036.736880 14.52067 0.01245 
 2454036.741499 14.50957 0.01244 
 2454036.746121 14.51599 0.01224 
 2454036.750741 14.51963 0.01179 
 2454036.755361 14.52344 0.01316 
 2454036.759981 14.51797 0.01245 
 2454036.764603 14.51000 0.01229 
 2454036.769224 14.52243 0.01264 
 2454036.773844 14.50363 0.01245 
 2454036.778464 14.51651 0.01305 
 2454036.783085 14.51212 0.01220 
 2454036.787706 14.50569 0.01211 
 2454037.685167 14.50649 0.01263 
 2454037.689788 14.53278 0.01267 
 2454037.694408 14.50657 0.01196 
 2454037.703650 14.51158 0.01051 
 2454037.708272 14.50843 0.01198 
 2454037.713737 14.51910 0.01213 
 2454037.715925 14.51240 0.01171 
 2454037.720546 14.52896 0.01172 
 2454037.725167 14.52126 0.01161 
 2454037.729789 14.51099 0.01148 
 2454037.734411 14.51375 0.01108 
 2454037.739033 14.51391 0.01098 
 2454037.743653 14.52285 0.01073 
 2454037.748274 14.52516 0.01105 
 2454037.752895 14.51272 0.01073 
 2454037.757517 14.51265 0.01079 
 2454037.762139 14.52502 0.01051 
 2454037.766760 14.52618 0.01051 
 2454037.771381 14.51079 0.01052 
 2454037.776002 14.51865 0.01060 
 2454037.780624 14.50852 0.01054 
 2454037.785245 14.51324 0.01056 
 2454038.735588 14.51922 0.01152 
 2454038.740209 14.52036 0.01173 
 2454038.758691 14.52329 0.01101 
 2454038.767932 14.52207 0.00754 
 2454038.772554 14.51218 0.01081 
 2454038.777175 14.51819 0.01045 
 2454038.781796 14.51618 0.00870 
 2454039.676434 14.52949 0.01576 
 2454039.681054 14.50826 0.01559 
 2454039.685675 14.50462 0.01544 
 2454039.690296 14.51506 0.01555 
 2454039.694917 14.50929 0.01532 
